distance_mm,power_mW,power_mW,FW10M_um,FW10M_um,irr_W/cm2,irr_W/cm2
values,mean,std,mean,std,mean,std
12.5,0.24858,0.0759036072924,163.5,41.5,1.18397024579,0.701387816861
14,0.30784,0.0674453141441,166,42.4578222082,1.4223909909,0.791537965956
16,0.41162,0.0705017560065,187.333333333,47.3943268991,1.49340109441,0.797763534018
18,0.6217,0.0729513262388,223.333333333,52.0405824547,1.58702544546,0.762693709556
20,1.08521666667,0.0961504275717,275.25,32.8890179239,1.82377777231,0.464828464752
21,1.37805,0.0517587915238,321.25,41.3967088064,1.70015619155,0.44279751964
22,2.00308,0.191806907071,402.75,23.5624171086,1.57230688136,0.237725320942
23,3.14026,0.296635794199,517.5,39.4239774756,1.49298353296,0.267646799741
24,5.05573333333,0.342928435035,671,29.0086194087,1.42971422141,0.157118064168
25,7.87068333333,0.631187696375,833.75,26.780356607,1.44162021741,0.148130068278
26,10.34356,0.549004027672,953.5,5.6789083458,1.44856758245,0.0787978882962
27,11.0983142857,0.232444853236,1037.5,24.0987551546,1.31277690263,0.0668970925801
28,9.78302,0.543141279595,993.25,54.7283062044,1.26260037087,0.155799344704
29,6.16128,0.659192968409,814.25,102.184575646,1.18322007633,0.322832860333
30,3.48142,0.32831576508,627,58.5192276094,1.12753869998,0.235806549625
31,2.0572,0.344409994048,472,34.7922405142,1.17571656467,0.262273000385
32,1.25384,0.102851982966,402.25,21.5334042826,0.986643215054,0.13307517076
33,0.849625,0.100665966816,363,49,0.820964072123,0.242042852984
34,0.668325,0.0922681791031,321.5,35.8085185396,0.82325783227,0.215752999319
36,0.40475,0.0919525557013,268.75,34.4845980113,0.713509944117,0.244548822698
38,0.262175,0.0861943262344,229.25,30.9868923902,0.63515936613,0.270347534782
40,0.17174,0.0837604106962,205,33.0075748882,0.520323996223,0.304096967756
